"公司代號","公司名稱","公司簡稱","產業類別","外國企業註冊地國","住址","營利事業統一編號","董事長","總經理","發言人","發言人職稱","代理發言人","總機電話","成立日期","上市日期","普通股每股面額","實收資本額(元)","已發行普通股數或TDR原發行股數","私募普通股(股)","特別股(股)","編製財務報告類型","普通股盈餘分派或虧損撥補頻率","普通股年度(含第4季或後半年度)現金股息及紅利決議層級","股票過戶機構","過戶電話","過戶地址","簽證會計師事務所","簽證會計師1","簽證會計師2","英文簡稱","英文通訊地址","傳真機號碼","電子郵件信箱","公司網址","投資人關係聯絡人","投資人關係聯絡人職稱","投資人關係聯絡電話","投資人關係聯絡電子郵件","公司網站內利害關係人專區網址"
"1213","大西洋飲料股份有限公司","大飲","食品工業","－","新北市三重區重陽路三段99號10樓","	35012903","蘇芸樂","于忠敏","于忠敏","總經理","洪松輝","(02)2982-0061","1965/07/24","1981/04/10",新台幣                 10.0000元,566226270,56622627,0,0,合併,每年,股東會,"大西洋飲料股份有限公司","(02)2982-0061","新北市三重區重陽路三段99號10樓","南台聯合會計師事務所","丁澤祥","蔡玉琴","OCEANIC Bev.","10F,99,Sec.3,Chung Yang Road,San Chung City,Taipei Hsien,Taiwan,R.O.C.","(02)2984-1154","c5012903@ms23.hinet.net","http://applesidra.com.tw","陳恩幼","襄理","02-29820061#234","c5012903@ms23.hinet.net","http://applesidra.com.tw"
"1215","台灣卜蜂企業股份有限公司","卜蜂","食品工業","－","台北市松江路八十七號十七樓","	36514783","鄭武樾","許瑞通","劉明哲","特別助理","謝筱芬","02-25077071","1977/08/22","1987/07/27",新台幣                 10.0000元,2947900980,294790098,0,0,合併,每年,董事會,"中國信託商業銀行代理部","02-66365566","台北市重慶南路一段八十三號五樓","資誠聯合會計師事務所","林一帆","廖福銘","CPE","17F., No. 87, Songjiang Rd.Taipei City, Taiwan 104","02-25064137","service@cptwn.com.tw","http://www.cptwn.com.tw","劉明哲","特別助理","02-25077071","service@cptwn.com.tw","http://www.cptwn.com.tw/ec99/rwd1453/category.asp?category_id=12"
"1216","統一企業股份有限公司","統一","食品工業","－","71001台南市永康區中正路301號","	73251209","羅智先","黃釗凱、李清田","陳國煇","財務長","涂忠正","(06)253-2121","1967/08/25","1987/12/28",新台幣                 10.0000元,56820154210,5682015421,0,0,合併,每年,股東會,"統一綜合證券(股)公司股務代理部","(02)2746-3797","10570台北市松山區東興路8號統一大樓地下室一樓","資誠聯合會計師事務所","田中玉","吳建志","UNI-PRESIDENT","No.301, Zhongzheng Rd., Yongkang Dist.,Tainan City 71001, Taiwan (R.O.C.)","(06)253-2661","jlian@mail.pec.com.tw","https://www.uni-president.com.tw","吳婉瑜","課長","(02)8786-6888-2536","public@mail.pec.com.tw","https://www.uni-president.com.tw/"
"1217","愛之味股份有限公司","愛之味","食品工業","－","嘉義縣民雄鄉工業二路11號","	65534366","陳冠翰","陳志展","陳冠翰","董事長","陳志展 陳建華 蕭宏基","05-2211521-4","1971/06/26","1989/10/28",新台幣                 10.0000元,4945133360,494513336,0,0,合併,每年,董事會,"群益金鼎證券股份有限公司","02-27023999","台北市大安區敦化南路二段97號地下二樓","國富浩華聯合會計師事務所","蔡淑滿","黃鈴雯","AGV","NO.11,Kung Yeh Second Rd.,Min Hsiong Industrial ZoneChiayi Hsien,Taiwan","05-2216287","YUEHCHU@mail.agv.com.tw","www.agv.com.tw","蔡月足","總監","05-2211521","YUEHCHU@mail.agv.com.tw","www.agv.com.tw"
"1218","泰山企業股份有限公司","泰山","食品工業","－","彰化縣田中鎮興工路6號","	59661701","劉偉龍","蔡政達","李淑惠","副總經理","彭碧珍","04-8742211","1950/10/26","1989/11/11",新台幣                 10.0000元,4999990380,499999038,0,0,合併,每季,董事會,"元大證券股份有限公司","02-25865859","台北市承德路三段210號B1","安永聯合會計師事務所","林素雯","楊智惠","TAISUN","No.6, Xinggong Rd., Tianzhong Township.Changhua County 520, Taiwan (R.O.C.)","04-8758989","taisunir@taisun.com.tw","www.taisun.com.tw","李淑惠","副總經理","02-2506-4152#9307","taisunir@taisun.com.tw","http://www.taisun.com.tw/corporate/stakeholder/"
"1219","福壽實業股份有限公司","福壽","食品工業","－","台中市沙鹿區沙田路45號","	56192402","洪堯昆","洪碩嬪","王四全","特助","陳祺炆","04-26362111","1955/02/07","1990/12/01",新台幣                 10.0000元,3316633830,331663383,0,0,合併,每半會計年度,董事會,"凱基證券股份有限公司","02-23892999","100502台北市重慶南路一段2號5樓","群智聯合會計師事務所","呂松裕","陳芓&#20227;","FWUSOW","45,Sha-Tyan,Sha-LuTaichung Taiwan R.O.C","04-26358452","fwusow@fwusow.com.tw","www.fwusow.com.tw","王四全","特助","04-26362111#210","scwang@fwusow.com.tw","http://www.fwusow.com.tw/information/itemlist/category/52.html"
"1220","台榮產業股份有限公司","台榮","食品工業","－","台北市中山區南京東路二段206號6樓","	03543210","陳英凱","陳英凱","陳玉能","副總經理","黃棣楨","(02)2506-9521","1969/03/13","1991/11/20",新台幣                 10.0000元,1770779440,177077944,0,0,合併,每年,股東會,"中國信託商業銀行代理部","(02)66365566","台北市重慶南路一段83號5樓","立本台灣聯合會計師事務所","柯俊輝","陳怡琳","TAIROUN","6TH FL. NO. 206.  NANKING E. RD., SEC. 2Taipei,Taiwan,ROC","(02)2507-7020","jushan@tairoun.com.tw","http://www.tairoun.com.tw/","陳玉能","副總經理","(02)2506-9521","otto@tairoun.com.tw","http://www.tairoun.com.tw/relationship.html"
"1225","福懋油脂股份有限公司","福懋油","食品工業","－","台中市大肚區沙田路一段453號","	22102298","晉昇投資有限公司","許逸群","郭中儀","協理","李建儀","25073121","1986/04/18","1993/09/27",新台幣                 10.0000元,2187030510,218703051,0,0,合併,每年,董事會,"群益金鼎證券股份有限公司","02-27023999","台北市敦化南路二段97號地下二樓","勤業眾信聯合會計師事務所","謝建新","張耿禧","FOPCO","3RD FL,150 NANKING EAST RD, SEC.2 TAIPEI TAIWAN R.O.CTAIPEI TAIWAN R.O.C.","(02)25071312","cherry.lin@fopco.com.tw","WWW.FOPCO.COM.TW","郭中儀","協理","02-25073121#122","matt.kuo@fopco.com.tw","WWW.FOPCO.COM.TW"
"1227","佳格食品股份有限公司","佳格","食品工業","－","台北市內湖區瑞光路610號10樓","	22102473","曹德風","曹博睿","曹德風","董事長","陳俊明","2709-2323","1986/06/06","1994/04/09",新台幣                 10.0000元,9150895910,915089591,0,0,合併,每年,股東會,"中國信託商業銀行代理部","(02)6636-5566","台北市重慶南路一段83號5樓","勤業眾信聯合會計師事務所","方涵妮","陳昭宇","S.F.C","10F., No. 610, Ruiguang Rd., Neihu Dist.Taipei,Taiwan,R.O.C.","2706-7955","spokesperson1@sfworldwide.com","https://www.sfworldwide.com/tw.html","曾玉如","副理","2709-2323 分機10860","anita@sfworldwide.com","https://www.sfworldwide.com/sustainability-stakeholders.html"
"1229","聯華實業投資控股股份有限公司","聯華","食品工業","－","臺北市大同區承德路一段44號6樓","	11996904","苗豐強","林信宏","林信宏","總經理","嚴文卿","(02)2786-1188","1955/07/20","1976/07/19",新台幣                 10.0000元,14801304370,1480130437,0,0,合併,每季,董事會,"中國信託商業銀行代理部","(02)6636-5566","台北市重慶南路一段83號5樓","安侯建業聯合會計師事務所","許淑敏","江曉苓","LHIHC","6F., No.44, Sec. 1, Chengde Rd., Datong DistrictTaipei, Taiwan, R.O.C.","(02)2786-3232","info@lhic.com.tw","https://www.lhicholdings.com/","張玉虎","財會中心經理","02-27861188 # 1622","ir@lhic.com.tw","https://www.lhicholdings.com/csr/index/crs-stakeholder/"
"1231","聯華食品工業股份有限公司","聯華食","食品工業","－","台北市迪化街一段148號","	07569627","李開源","林家齊","林志遠","財務處協理","陳姵岑","(02)25534546","1970/07/07","1995/11/02",新台幣                 10.0000元,2466565910,246656591,0,0,合併,每年,股東會,"永豐金證券股份有限公司","(02)23816288","台北市博愛路17號3樓","勤業眾信聯合會計師事務所","趙永祥","劉明賢","Lian Hwa Foods","148 TI HWA STREET SEC.1,Taipei,Taiwan,R.O.C","(02)25533479","tomlin@lianhwa.com.tw","www.lianhwa.com.tw","林志遠","財務處協理","(02)25521666-1580","tomlin@lianhwa.com.tw","http://lianhwa.varynice.com/column_list.php?content_category_sn=425"
"1232","大統益股份有限公司","大統益","食品工業","－","台南市官田區二鎮里工業西路32號","	20927014","羅智先","陳昭良","陳昭良","總經理","陳冠州","06-698-4500","1982/05/24","1996/02/09",新台幣                 10.0000元,1599749150,159974915,0,0,合併,每年,股東會,"統一綜合證券股份有限公司","02-2746-3797","台北市東興路8號地下一樓","資誠聯合會計師事務所","葉芳婷","林姿妤","TTET","32, Gongye West Road, Erzhen Village, Guantian District, Tainan City, TaiwanTAINAN CITY, TAIWAN","06-698-5530","finance@mail.ttet.com.tw","https://www.ttet.com.tw","陳冠州","經理","06-6984500#800","sam@mail.ttet.com.tw","https://www.ttet.com.tw/bg/Stakeholder/index5.php"
"1233","天仁茶業股份有限公司","天仁","食品工業","－","台北市忠孝東路4段107號6樓","	18559415","李國麟","林仁宗","陳中智","財務暨行政副總經理","謝艾芸","02-27765580","1975/12/11","1999/01/20",新台幣                 10.0000元,905919480,90591948,0,0,合併,每年,董事會,"元大證券股份有限公司","02-25865859","台北市承德路3段210號地下一樓","安永聯合會計師事務所","呂倩雯","劉慧媛","Ten Ren","6F. NO.107,SEC 4, Chung Hsiao East Road,Taipei, Taiwan, ROC","02-27403035","chafortea@tenren.com.tw","http://www.tenren.com.tw/","謝艾芸","公司治理室主任","02-27765580","irene@tenren.com.tw","http://www.tenren.com.tw/Content/IRContactUS/Contact.aspx?SiteID=10&MmmID=654044433016605753"
"1234","黑松股份有限公司","黑松","食品工業","－","台北市信義路四段296號3樓","	20651901","張斌堂","張斌堂","杜居燦","財務處處長","蔡曜光","(02)2706-2191","1969/12/13","1999/03/12",新台幣                 10.0000元,4018710940,401871094,0,0,合併,每年,董事會,"宏遠證券股份有限公司股務代理部","(02)7719-8899","台北市大安區信義路四段236號3樓","勤業眾信聯合會計師事務所","郭乃華","池瑞全","HEY SONG","3RD FL. NO. 296, SEC. 4, HSIN YI RD.TAIPEI, TAIWAN, R.O.C.","(02)2755-2119","heysong@heysong.com.tw","www.heysong.com.tw","杜居燦","財務處處長","27062191#403","16222@heysong.com.tw","http://www.heysong.com.tw/Stakeholder/Stakeholder"
"1235","興泰實業股份有限公司","興泰","食品工業","－","高雄市仁武區高楠公路10號","	85617982","吳金泉","葉文籐","葉文隆","法務處經理","蘇玲慧","07-3425301-5","1972/11/15","2000/09/11",新台幣                 10.0000元,1336294200,133629420,0,0,合併,每年,股東會,"國票綜合證券股份有限公司","02-25288988","105411台北市松山區南京東路五段188號15樓","群智聯合會計師事務所","呂松裕會計師","陳芓(人予)會計師","ST","10 KAO-NANG HIGHWAYJEN-WUH KAOHSIUNG TAIWAN R.O.C.","07-3425694","shintai1235@seed.net.tw","www.shintai-feed.com.tw","葉文隆","法務處經理","07-3425301","shintai1235@seed.net.tw","http://www.goldenbrand.com.tw/stakeholder.php"
"1236","宏亞食品股份有限公司","宏亞","食品工業","－","新北市新店區北新路一段86號20樓之6","	34106066","張云綺","張云綺","余彩雲","財務經理","許士彬","(02)29180786","1976/06/14","2001/09/17",新台幣                 10.0000元,1083425100,108342510,0,0,合併,每年,董事會,"福邦證券股份有限公司","(02)2383-6888","台北市中正區忠孝西路一段6號6樓","安永聯合會計師事務所","徐榮煌","黃建澤","Hunya","20F.-6, No.86, Sec. 1, Beixin Rd.,Xindian Dist., New Taipei City 23147","(02)29180706","hunya.com.tw","www.hunya.com.tw","余彩雲","財務經理","(02)29180786","christineyu@hunya.com.tw","https://csr.hunya.com.tw/"
"1256","鮮活控股股份有限公司","鮮活果汁-KY","食品工業","KY","Suite 102, Cannon Place, P.O.Box 712,North Sound Rd;  Grand","	37759808","黃國晃","吳明憲","吳明憲","董事","陳怡如","512-57515501","2010/01/12","2016/03/17",新台幣                 10.0000元,338421600,33842160,0,0,合併,每年,股東會,"兆豐證券股份有限公司股務代理部","02-3393-0898","台北市忠孝東路二段95號1樓","勤業眾信聯合會計師事務所","謝明忠","黃毅民","Sunjuice","Suite 102, Cannon Place, P.O.Box 712,North Sound Rd;   Grand Cayman,KY1-9006Suite 102, Cannon Place, P.O.Box 712","512-57515503","ky@myfreshjuice.com","http://www.myfreshjuice.com","吳明憲","董事／發言人","0972522666","sam.wu@myfreshjuice.com","http://www.myfreshjuice.com"
"1301","台灣塑膠工業股份有限公司","台塑","塑膠工業","－","高雄市仁武區水管路100號","	75708007","林健男","郭文筆","林勝冠","資深副總經理","簡嘉宏","(02)2712-2211","1954/11/05","1964/07/27",新台幣                 10.0000元,63657407810,6365740781,0,0,合併,每年,董事會,"本公司股務組","(02)2718-9898","台北市敦化北路201號後棟1樓","安侯建業聯合會計師事務所","郭欣頤","寇惠植","FPC","4F, 201, Tung Hwa North RoadTaipei, Taiwan, R.O.C.","(02)2717-8108","formosa@fpc.com.tw","http://www.fpc.com.tw","劉祈廷","代理協理","(02)2712-2211","formosa@fpc.com.tw","http://www.fpc.com.tw/fpcw/index.php?op=res&id=18"
"1303","南亞塑膠工業股份有限公司","南亞","塑膠工業","－","台北市敦化北路201號","	75370905","吳嘉昭","鄒明仁","吳嘉昭","董事長","彭福榮","(02)27122211","1958/08/22","1967/11/05",新台幣                 10.0000元,79308215890,7930821589,0,0,合併,每年,董事會,"本公司股務組","(02)27189898","台北市敦化北路201號後棟一樓","安侯建業聯合會計師事務所","寇惠植","陳俊光","NPC","201, TUNG HWA NORTH ROADTAIPEI TAIWAN, REPUBLIC OF CHINA","(02)27178533","nanya@npc.com.tw","http://www.npc.com.tw","彭福榮","副總經理","(02)27122211","nanya@npc.com.tw","http://www.npc.com.tw/j2npc/zhtw/stakeholder.jsp"
"1304","台灣聚合化學品股份有限公司","台聚","塑膠工業","－","台北市內湖區基湖路37號12樓","	11917107","吳亦圭","吳培基","吳銘宗","業務副總經理","周澤宜","02-87516888","1965/05/26","1972/05/20",新台幣                 10.0000元,11887635000,1188763500,0,0,合併,每年,股東會,"本公司股務部","02-26503773","台北市內湖區內湖路一段120巷17號6樓","勤業眾信聯合會計師事務所","莊碧玉","陳俊宏","USI","12TH FLOOR, NO. 37 JI-HU ROAD, NEI-HU DISTRICTTAIPEI 114, TAIWAN, R.O.C.","02-26599524","mtwu@usig.com","www.usife.com.tw","周澤宜","代理發言人","02-87516888分機3318","kellychou@usig.com","https://www.usife.com/CSR/default.aspx"
"1305","華夏海灣塑膠股份有限公司","華夏","塑膠工業","－","台北市內湖區基湖路37號12樓","	11686106","吳亦圭","林漢福","胡吉宏","執行副總經理","陳之國","(02)8751-6888","1964/04/29","1973/03/05",新台幣                 10.0000元,5810504940,581050494,0,0,合併,每年,股東會,"本公司股務部","(02)2650-3773","台北市內湖區內湖路一段120巷17號6樓","勤業眾信聯合會計師事務所","黃秀椿","邱政俊","CGPC","12th Floor , NO.37 , Ji-Hu Rd. Nei-Hu DistrictTaipei, Taiwan, R.O.C.","(02)2659-9553","ottohu@usig.com","https://www.cgpc.com.tw","胡吉宏","執行副總經理","(02)2650-3708","ottohu@usig.com","https://www.cgpc.com.tw/ESG/tw/issue-SDGs.aspx"
"1307","三芳化學工業股份有限公司","三芳","塑膠工業","－","高雄市三民區通化街120號","	83387850","林孟經","林至逸","林信宏","副總經理","陳偉鉅","(07)3712111","1973/06/16","1985/11/23",新台幣                 10.0000元,3978181260,397818126,0,0,合併,每年,董事會,"中國信託代理部","(02)6636-5566","台北市重慶南路一段83號5樓","勤業眾信會計師事務所","吳秋燕","劉裕祥","SAN FANG","402 FENGJEN RD.,JENWU SHIANG,KAOSHIUNG,TAIWAN","(07)3711940","service@sanfang.com.tw","http://www.sanfang.com.tw","林信宏","副總經理","073712111","lhh@sanfang.com.tw","http://www.sanfang.com.tw/main/ems_c01.asp"
"1308","亞洲聚合股份有限公司","亞聚","塑膠工業","－","高雄市林園區工業一路3號","	20747385","吳亦圭","吳培基","曾國龍","業務處長","陳政順","(02)8751-6888","1977/01/25","1986/06/20",新台幣                 10.0000元,5937439190,593743919,0,0,合併,每年,股東會,"亞洲聚合股份有限公司股務部","(02)2650-3773","台北市內湖區內湖路一段120巷17號6樓","勤業眾信聯合會計師事務所","邱政俊","莊碧玉","APC","NO.3,INDUSTRIAL 1ST RD., LINYUAN DIST.,KAOHSIUNG, TAIWAN, 832 ROC","(02)2659-9553","gltzeng@usig.com","HTTP://WWW.apc.com.tw","陳政順","會計部經理","(02)2798-3788","nicolaschen@usig.com","www.apc.com.tw/dirCSR/frmCSR6.aspx"
"1309","台達化學工業股份有限公司","台達化","塑膠工業","－","台北市內湖區基湖路37號12樓","	11893409","吳亦圭","吳培基","顏太明","執行副總經理","林金才","(02)8751-6888","1960/04/06","1986/06/27",新台幣                 10.0000元,3975868480,397586848,0,0,合併,每年,股東會,"台達化學工業股份有限公司股務部","(02)2650-3773","台北市內湖區內湖路一段120巷17號6樓","勤業眾信聯合會計師事務所","邱政俊","黃秀椿","TTC","12th Floor, No.37, Ji-Hu Rd.,Taipei 114,Taiwan,R.O.C.","(02)2659-9504","tmyen@ttc.com.tw","http://www.ttc.com.tw","林金才","代理發言人","(02)8751-6888#3797","tonylin@usig.com","https://www.ttc.com.tw/zh-tw/dirCSR/frmCSR7.aspx"
"1310","台灣苯乙烯工業股份有限公司","台苯","塑膠工業","－","台北市中正區羅斯福路一段六號八樓之一","	20844865","林文淵","仲崇國","呂政欣","協理","陳彥均","02-23966007","1979/11/16","1987/08/06",新台幣                 10.0000元,5278697640,527869764,0,0,合併,每年,董事會,"元大證券(股)公司股務代理部","02-2586-5859","台北市承德路三段210號地下一樓","安侯建業聯合會計師事務所","吳麟","王勇勝","T.S.M.C.","8F-1, No. 6, Sec. 1, Roosevelt Rd., Taipei City , TaiwanTaipei,Taiwan","23960755","investors@mail.smct.com.tw","http://www.smct.com.tw/","陳明男","協理","02-23966007","investors@mail.smct.com.tw","http://www.smct.com.tw/contact/contactUs"
"1312","國喬石油化學股份有限公司","國喬","塑膠工業","－","臺北市敦化北路135號8樓","	04212250","邱德馨","曾嘉雄","沈美佑","經理","薛鴻敏","(02)2175-4567","1973/09/25","1988/12/21",新台幣                 10.0000元,9266203280,906620328,0,20000000,合併,每年,董事會,"凱基證券(股)公司代理部","(02)2389-2999","台北市重慶南路一段2號5 樓","國富浩華聯合會計師事務所","蕭英嘉","林志隆","GPPC","8F., No. 135, Dunhua N. Rd., Songshan Dist.,TAIPEI, TAIWAN  R.O.C.","(02)2545-8755","gppc@gppc.com.tw","http://www.gppc.com.tw","沈美佑","經理","(02)2175-4567","gppc@gppc.com.tw","http://www.gppc.com.tw/gppc/Investment-2.asp"
"1313","聯成化學科技股份有限公司","聯成","塑膠工業","－","台北市南港區南港路一段209號A棟9樓","	04748660","苗豐強","畢淑蒨","陳逸蓁","經理","徐桂梅","(02)26517889","1976/08/14","1989/03/27",新台幣                 10.0000元,13565786070,1356578607,0,0,合併,每年,董事會,"中國信託商業銀行代理部","(02)6636-5566","台北市重慶南路一段83號5F","勤業眾信聯合會計師事務所","劉建良","林文欽","UPC","9F., Building A, No. 209 NanGang Rd., Sec. 1, NanGang Dist., Taipei, 115,Taiwan, R.O.C","(02)26515818","ir@upc.com.tw","http://www.upc.com.tw","陳逸蓁","經理","(02)26517889-6003","ir@upc.com.tw","https://www.upc.com.tw/zh-TW/Html/stakeholder_engagement"
"1314","中國石油化學工業開發(股)公司","中石化","塑膠工業","－","高雄市大社區經建路1號","	03084741","陳瑞隆","余建松","陳穎俊","副總經理","待指派","07-3513521","1969/07/08","1991/07/12",新台幣                 10.0000元,37848501300,3784850130,0,0,合併,每年,股東會,"本公司股務室","02-89782589","台北市松山區東興路12號3樓","安侯建業會計師事務所","吳政諺","陳眉芳","CPDC","No. 1 Chinchian Road, Dashe HsiangKaohsiung, Taiwan, R. O. C.","07-3513642","list1314@ms.tse.com.tw","www.cpdc.com.tw","季天蔚","副理","02-87878461","investors@cpdc.com.tw","http://www.cpdc.com.tw/chinese/csr/list.php?ID=8"
